Arist(s) Name|Track Name|Album Name|Length|SpotifyID|ISRC|Release Date|Popularity
The Beatles | Hey Jude - Remastered 2015 | 1 (Remastered) | 00:07:05 | 0aym2LBJBk9DAYuHHutrIl | GBUM71505902 | 2000-11-13 | 73
Shaggy; Rik Rok | It Wasn't Me | The Boombastic Collection - Best of Shaggy | 00:03:47 | 0OaunKfsxkgBvPv68jBbmm | USMC10000393 | 2008-01-01 | 61
P!nk | Just Like Fire (From the Original Motion Picture "Alice Through The Looking Glass") | Just Like Fire (From the Original Motion Picture "Alice Through The Looking Glass") | 00:03:35 | 7K5dzhGda2vRTaAWYI3hrb | USWD11676311 | 2016-04-15 | 71
Kesha | Die Young | Warrior (Deluxe Version) | 00:03:31 | 6mnjcTmK8TewHfyOp3fC9C | USRC11201008 | 2012-11-30 | 3
Kent Jones | Don't Mind | Don't Mind | 00:03:18 | 27PmvZoffODNFW2p7ehZTQ | USSM11603011 | 2016-04-25 | 69
Phoenix | Lisztomania | Wolfgang Amadeus Phoenix | 00:04:01 | 7fmJGzyvOcbh6UANsH8Cp6 | FR31Q0900001 | 2009-05-25 | 14
Sofía Reyes; Jason Derulo; De La Ghetto | 1, 2, 3 (feat. Jason Derulo & De La Ghetto) | 1, 2, 3 (feat. Jason Derulo & De La Ghetto) | 00:03:21 | 4QtiVmuA88tPQiCOHZuQ5b | USWL11700238 | 2018-02-16 | 67
Jason Derulo; Maluma | Colors | Colors | 00:03:19 | 0AmjoOwf1G8MB8SEG1AOGi | USWB11800778 | 2018-04-13 | 51
Pitbull; Kesha | Timber | Global Warming: Meltdown (Deluxe Version) | 00:03:24 | 3cHyrEgdyYRjgJKSOiOtcS | USRC11301695 | 2012 | 87
Lady Gaga; Colby O'Donis | Just Dance | The Fame | 00:04:01 | 6HkjpGIOHv4y0IBAxUbE5z | USUM70807646 | 2008-01-01 | 3
LMFAO; Lauren Bennett; GoonRock | Party Rock Anthem | Sorry For Party Rocking | 00:04:22 | 5y1jZxXIpECpclpbA76zVm | USUM71100061 | 2011-01-01 | 30
Katy Perry | Roar | Roar | 00:03:42 | 3XSczvk4MRteOw4Yx3lqMU | USUM71308669 | 2013-08-12 | 3
Rihanna; Calvin Harris | We Found Love | Talk That Talk | 00:03:35 | 6qn9YLKt13AGvpq9jfO8py | USUM71115507 | 2011-11-18 | 85
Maroon 5 | One More Night | Overexposed (Deluxe) | 00:03:39 | 4XNrMwGx1SqP01sqkGTDmo | USUM71203514 | 2012-01-01 | 75
Pitbull; Ne-Yo | Time of Our Lives | Globalization | 00:03:49 | 2bJvI42r8EF3wxjOuDav4r | USRC11402647 | 2014-11-24 | 87
Kesha | TiK ToK | Animal | 00:03:19 | 5OMwQFBcte0aWFJFqrr5oj | USRC10900433 | 2010 | 3
Emblem3 | Chloe (You're the One I Want) | Nothing To Lose (Deluxe Version) | 00:03:42 | 036GQb6SETOJJG8BxJTNxc | USSM11301128 | 2013-07-26 | 50
Taron Egerton | I'm Still Standing - From "Sing" Original Motion Picture Soundtrack | Sing (Original Motion Picture Soundtrack / Deluxe) | 00:03:07 | 0mb7btREdC3wuIUmuVRgWn | USQ4E1602400 | 2016-12-09 | 69
A$AP Rocky | r - Cali | The Music of Grand Theft Auto V, Vol. 1: Original Music | 00:02:19 | 2oMOqX9k4k16odibNkYyrD | TCABQ1372658 | 2013-09-24 | 1
Majestic; Boney M. | Rasputin | Rasputin | 00:03:06 | 0b18g3G5spr4ZCkz7Y6Q0Q | DEE862100256 | 2021-02-26 | 80
Jason Derulo; French Montana | Tip Toe (feat. French Montana) | Tip Toe (feat. French Montana) | 00:03:07 | 2z4pcBLQXF2BXKFvd0BuB6 | USWB11702102 | 2017-11-10 | 60
Flo Rida; Sia | Wild Ones (feat. Sia) | Wild Ones | 00:03:52 | 1NpW5kyvO4XrNJ3rnfcNy3 | USAT21104103 | 2012-06-22 | 83
LMFAO; Lil Jon | Shots | Party Rock | 00:03:42 | 1V4jC0vJ5525lEF1bFgPX2 | USUM70972020 | 2009-01-01 | 71
Demi Lovato | Here We Go Again | Here We Go Again | 00:03:46 | 33RJ3P6wc0B0FIyDalhNTv | USHR10924472 | 2009-01-01 | 58
Fall Out Boy | Irresistible | American Beauty/American Psycho | 00:03:26 | 3znPiywA0q1VK2jgAZFDoI | USUM71417732 | 2015-01-16 | 65
Fall Out Boy | American Beauty/American Psycho | American Beauty/American Psycho | 00:03:15 | 3D4Xkcir5YEhk8Xidkd1dL | USUM71417713 | 2015-01-16 | 54
Fall Out Boy | Centuries | American Beauty/American Psycho | 00:03:48 | 04aAxqtGp5pv12UXAg4pkq | USUM71412644 | 2015-01-16 | 83
Fall Out Boy | The Kids Aren't Alright | American Beauty/American Psycho | 00:04:20 | 3x7NGlfDKQYN2wnwEnL7r9 | USUM71417733 | 2015-01-16 | 59
Fall Out Boy | Uma Thurman | American Beauty/American Psycho | 00:03:31 | 5PUawWFG1oIS2NwEcyHaCr | USUM71417734 | 2015-01-16 | 71
Fall Out Boy | Jet Pack Blues | American Beauty/American Psycho | 00:02:59 | 7d0R90VzB45UWf3Aey0X22 | USUM71417735 | 2015-01-16 | 56
Fall Out Boy | Novocaine | American Beauty/American Psycho | 00:03:46 | 5F0bmCjKUufNz1bHXfgRwe | USUM71417736 | 2015-01-16 | 60
Fall Out Boy | Fourth Of July | American Beauty/American Psycho | 00:03:44 | 1vrjcPplEuenckUzGGp2UR | USUM71417737 | 2015-01-16 | 60
Fall Out Boy | Favorite Record | American Beauty/American Psycho | 00:03:23 | 4vC4nKK6bk9pYEVOU4EIbA | USUM71417738 | 2015-01-16 | 53
Fall Out Boy | Immortals | American Beauty/American Psycho | 00:03:09 | 3Te8uLyit6X3ncNW8Fp3K2 | USUM71417740 | 2015-01-16 | 78
Fall Out Boy | Twin Skeleton's (Hotel In NYC) | American Beauty/American Psycho | 00:03:40 | 2WWP0IPX9xFjAMraNHX390 | USUM71417739 | 2015-01-16 | 55
Rixton | Wait On Me | Let The Road | 00:03:57 | 6CLx4X6ovfxFwcBbr5vv59 | USUM71411017 | 2014-01-01 | 51
Rixton | Me And My Broken Heart | Let The Road | 00:03:13 | 1oew3nFNY3vMacJAsvry0S | USUM71401800 | 2014-01-01 | 78
DJ Snake; Justin Bieber | Let Me Love You | Encore | 00:03:25 | 0lYBSQXN6rCTvUZvg9S0lU | QMZSY1600015 | 2016-08-05 | 88
AJR | Next Up Forever | Neotheater | 00:04:16 | 5tVmNtMvCCABF6u2IyLLjX | QMRSZ1900094 | 2019-04-26 | 0
AJR | Birthday Party | Neotheater | 00:03:43 | 7hBRNyuEkGR4qj5nTDGTry | QMRSZ1900096 | 2019-04-26 | 0
AJR | 100 Bad Days | Neotheater | 00:03:32 | 17FK4etx1u2NK60cptINMS | QMRSZ1900001 | 2019-04-26 | 2
AJR | Don't Throw Out My Legos | Neotheater | 00:04:10 | 61vlvG3pr4djrXPtHPdXII | QMRSZ1900098 | 2019-04-26 | 0
AJR | Break My Face | Neotheater | 00:03:46 | 4h1VLpsN8tl5J1c8nsrUCa | QMRSZ1900099 | 2019-04-26 | 0
AJR | Turning Out Pt. ii | Neotheater | 00:03:43 | 5MKfN1QC8ZWKeQGDFJSxaq | QMRSZ1900100 | 2019-04-26 | 0
AJR | The Entertainment's Here | Neotheater | 00:03:07 | 3HYgLawcb8IUGHHlHUQffN | QMRSZ1900101 | 2019-04-26 | 0
AJR | Karma | Neotheater | 00:04:05 | 3VygfAvvgVaJUeaBUSzlZu | QMRSZ1900095 | 2019-04-26 | 1
AJR | Beats | Neotheater | 00:03:18 | 4Z84bBOAu0dLVd2WimB3re | QMRSZ1900103 | 2019-04-26 | 0
AJR | Wow, I'm Not Crazy | Neotheater | 00:03:16 | 04gQHzS8FLPoNdnRKw4jDJ | QMRSZ1900102 | 2019-04-26 | 0
AJR | Finale (Can't Wait To See What You Do Next) | Neotheater | 00:04:37 | 392snxgncTS2SKFgz64Lj3 | QMRSZ1900105 | 2019-04-26 | 0
Evanescence | Bring Me To Life | Fallen | 00:03:55 | 0COqiPhxzoWICwFCS4eZcp | USWU30200093 | 2003-03-04 | 88
Jason Mraz; Colbie Caillat | Lucky | We Sing. We Dance. We Steal Things. | 00:03:09 | 0IktbUcnAGrvD03AWnz3Q8 | USEE10800806 | 2008-05-12 | 71
Alex Clare | Too Close | The Lateness Of The Hour | 00:04:16 | 4sK96UnGx3NjBaqvfTG2dm | GBUM71101222 | 2011 | 62
David Guetta; Flo Rida; Nicki Minaj | Where Them Girls At (feat. Nicki Minaj & Flo Rida) | Nothing but the Beat | 00:03:30 | 3djPwpsQAnp8B8gC81e7fk | GB28K1100001 | 2011-08-31 | 50
Bryce Vine | Sour Patch Kids | Lazy Fair | 00:04:12 | 5DJNyvuMmZfsfvdTpMMmUq | USQY51460659 | 2014-04-22 | 58
Bryce Vine | Where the Wild Things Are | Lazy Fair | 00:03:07 | 51723ybY4gFTaLXZKaq1zq | USQY51460660 | 2014-04-22 | 33
Bryce Vine | Guilty Pleasure | Lazy Fair | 00:03:24 | 3F0xQdEqmXIbrYbtZ46InQ | USQY51460661 | 2014-04-22 | 49
Bryce Vine | Take Me Home | Lazy Fair | 00:03:50 | 1ouanDM2jYv4G09wUlftdO | USQY51460662 | 2014-04-22 | 40
Bryce Vine | My Holiday | Lazy Fair | 00:04:18 | 3NZKRCHuuVUmyKBkys74UL | USQY51460663 | 2014-04-22 | 29
Sam Smith | Stay With Me | In The Lonely Hour | 00:02:52 | 5Nm9ERjJZ5oyfXZTECKmRt | GBUM71308833 | 2014-05-26 | 84
Sam Smith | I'm Not The Only One | In The Lonely Hour | 00:03:59 | 7795WJLVKJoAyVoOtCWqXN | GBUM71308836 | 2014-05-26 | 85
Panic! At The Disco; fun. | C'mon - Single Version | C'mon | 00:03:34 | 53c9tTEHXWL5GkYNalbXZ3 | USAT21100921 | 2011-05-17 | 55
Elle King | Ex's & Oh's | Love Stuff | 00:03:22 | 70eDxAyAraNTiD6lx2ZEnH | USRC11401950 | 2015-02-13 | 76
Papa Roach | Last Resort | Infest | 00:03:19 | 5W8YXBz9MTIDyrpYaCg2Ky | USDW10021712 | 2001-04-25 | 85
MAX; Quinn XCII | Love Me Less (feat. Quinn XCII) | Love Me Less (feat. Quinn XCII) | 00:02:57 | 2tOOcDDYkh0PSjr6GwPEAJ | USQX91900537 | 2019-04-05 | 57
Fleetwood Mac | Dreams - 2004 Remaster | Rumours (Super Deluxe) | 00:04:17 | 0ofHAoxe9vBkTCp2UQIavz | USWB11301111 | 1977-02-04 | 90
Glass Animals | Dreamland | Dreamland (+ Bonus Levels) | 00:03:23 | 7EddPP8ev2m39vyG4hf8Tr | GBUM72000427 | 2021-09-09 | 27
Glass Animals | Tangerine | Dreamland (+ Bonus Levels) | 00:03:20 | 6f8SWxaqp6qppK2ad6NrEL | GBUM72000428 | 2021-09-09 | 29
Glass Animals | Hot Sugar | Dreamland (+ Bonus Levels) | 00:03:54 | 42HeiOUyKfihYER8j0fgdw | GBUM72000429 | 2021-09-09 | 26
Glass Animals | Space Ghost Coast To Coast | Dreamland (+ Bonus Levels) | 00:03:07 | 3fvCSBcInkxVilVcn7Wgg1 | GBUM72000432 | 2021-09-09 | 29
Glass Animals; Denzel Curry | Tokyo Drifting | Dreamland (+ Bonus Levels) | 00:03:36 | 7CHelZFdG67KvsIfXlFiMh | GBUM71905642 | 2021-09-09 | 28
Glass Animals | Your Love (Déjà Vu) | Dreamland (+ Bonus Levels) | 00:03:54 | 4c3ORntbG04PMGGucgwiLw | GBUM72000802 | 2021-09-09 | 29
Glass Animals | Waterfalls Coming Out Your Mouth | Dreamland (+ Bonus Levels) | 00:02:41 | 4qclHm5Mir9C4Pyn3ZRIRc | GBUM72000423 | 2021-09-09 | 27
